id,robot_id,event_type,battery_pct,lat,lon,created_at
1,robot-001,mission_started,87,37.42,-122.15,2026-05-12T08:01:23Z
2,robot-002,mission_started,72,37.43,-122.14,2026-05-12T08:02:11Z
3,robot-003,obstacle_detected,55,37.41,-122.16,2026-05-12T08:05:42Z
4,robot-001,mission_completed,82,37.42,-122.15,2026-05-12T08:18:11Z
5,robot-004,mission_started,93,37.44,-122.13,2026-05-12T09:02:05Z
6,robot-002,battery_low,18,37.43,-122.14,2026-05-12T09:35:22Z
7,robot-003,mission_completed,49,37.41,-122.16,2026-05-12T09:42:48Z
8,robot-005,mission_started,68,37.45,-122.12,2026-05-12T10:01:00Z
9,robot-001,mission_started,99,37.42,-122.15,2026-05-12T11:10:00Z
10,robot-004,obstacle_detected,84,37.44,-122.13,2026-05-12T11:22:14Z
11,robot-002,charging,45,37.43,-122.14,2026-05-12T11:30:00Z
12,robot-005,mission_completed,60,37.45,-122.12,2026-05-12T11:55:21Z
13,robot-001,mission_completed,93,37.42,-122.15,2026-05-12T12:30:09Z
14,robot-006,mission_started,77,37.46,-122.11,2026-05-12T13:00:00Z
15,robot-007,mission_started,82,37.47,-122.10,2026-05-12T13:01:00Z
16,robot-003,mission_started,71,37.41,-122.16,2026-05-12T13:15:00Z
17,robot-006,battery_low,15,37.46,-122.11,2026-05-12T14:20:00Z
18,robot-004,mission_completed,69,37.44,-122.13,2026-05-12T14:40:00Z
19,robot-008,mission_started,88,37.48,-122.09,2026-05-12T15:00:00Z
20,robot-007,obstacle_detected,76,37.47,-122.10,2026-05-12T15:22:00Z
21,robot-001,charging,40,37.42,-122.15,2026-05-12T16:00:00Z
22,robot-005,mission_started,95,37.45,-122.12,2026-05-12T16:15:00Z
23,robot-008,mission_completed,80,37.48,-122.09,2026-05-12T16:45:00Z
24,robot-002,mission_started,90,37.43,-122.14,2026-05-12T17:00:00Z
25,robot-009,mission_started,82,37.49,-122.08,2026-05-12T17:30:00Z
26,robot-003,battery_low,12,37.41,-122.16,2026-05-12T18:05:00Z
27,robot-007,mission_completed,69,37.47,-122.10,2026-05-12T18:30:00Z
28,robot-010,mission_started,75,37.50,-122.07,2026-05-12T19:00:00Z
29,robot-009,obstacle_detected,76,37.49,-122.08,2026-05-12T19:20:00Z
30,robot-001,mission_started,95,37.42,-122.15,2026-05-12T19:45:00Z
31,robot-006,mission_completed,62,37.46,-122.11,2026-05-12T20:00:00Z
32,robot-002,mission_completed,82,37.43,-122.14,2026-05-12T20:30:00Z
33,robot-008,mission_started,71,37.48,-122.09,2026-05-12T21:00:00Z
34,robot-005,mission_completed,87,37.45,-122.12,2026-05-12T21:15:00Z
35,robot-010,mission_completed,67,37.50,-122.07,2026-05-12T21:40:00Z
36,robot-001,mission_completed,87,37.42,-122.15,2026-05-12T22:00:00Z
37,robot-003,charging,58,37.41,-122.16,2026-05-13T07:30:00Z
38,robot-004,mission_started,98,37.44,-122.13,2026-05-13T08:00:00Z
39,robot-002,mission_started,94,37.43,-122.14,2026-05-13T08:15:00Z
40,robot-005,mission_started,91,37.45,-122.12,2026-05-13T08:30:00Z
41,robot-001,mission_started,89,37.42,-122.15,2026-05-13T08:45:00Z
42,robot-006,mission_started,84,37.46,-122.11,2026-05-13T09:00:00Z
43,robot-007,mission_started,80,37.47,-122.10,2026-05-13T09:15:00Z
44,robot-004,obstacle_detected,76,37.44,-122.13,2026-05-13T09:45:00Z
45,robot-002,mission_completed,84,37.43,-122.14,2026-05-13T10:00:00Z
46,robot-005,battery_low,22,37.45,-122.12,2026-05-13T10:20:00Z
47,robot-008,mission_started,72,37.48,-122.09,2026-05-13T10:30:00Z
48,robot-001,mission_completed,79,37.42,-122.15,2026-05-13T10:45:00Z
49,robot-009,mission_started,90,37.49,-122.08,2026-05-13T11:00:00Z
50,robot-006,mission_completed,72,37.46,-122.11,2026-05-13T11:30:00Z
